no,station,latitude,longitude,elevation
1,Aceh_Besar,5.40359,95.46497,40
2,Deli_Serdang,3.62092,98.714845,0
3,Padang_Pariaman,-0.54565,100.29851,128
4,Manokwari_Selatan,-1.51059,134.17704,20
5,Palembang,-2.92731,104.77194,11
6,Bengkulu,-3.86485,102.31213,9
7,Pesawaran,-5.17226,105.18037,74
8,Bogor,-6.55326,106.7428,207
9,Sleman,-7.7312,-110.35362,182
10,Malang,-7.90139,112.59667,590
11,Jembrana,-8.3407,114.61799,25
12,Lombok_Barat,-8.6364,116.17049,55
13,Mempawah,-0.07489,109.1905,2
14,Banjarbaru,-3.46225,114.84084,48
15,Minahasa_Utara,1.50101,124.918164,84
16,Maros,-4.99713,119.57149,13
17,Bone_Bolango,0.55599,123.14071,15
18,Seram_Bagian_Barat,-3.33886,128.3679,5
19,Merauke,-8.38709,140.5165,4
20,Sorong,-0.87454,131.26774,220
21,Ternate,0.82877,127.38152,33
22,Tangerang_Selatan,-6.26149,106.75079,27
23,Konawe_Selatan,-4.05622,122.44916,30
24,Semarang,-6.9841,110.381,6
25,Jayapura,-2.5925,140.1678,70
26,Bangka_Tengah,-2.51786,106.42285,6
27,Kupang,-10.139,123.6669,19
28,Kampar,0.4072,101.21694,18
29,Palangkaraya,-2.22806,113.94622,11
30,Palu,-1.65004,120.183,1369
31,Mamuju,-2.66666,118.84976,29
32,Muaro_Jambi,-1.60111,103.49444,24
33,Batam,1.1191,104.1138,26
34,Samarinda,-0.374146,117.25381,10
35,Nunukan,4.13586,117.6662,8
